Country/Region;US;Spain;Italy;Germany;France;China;Iran;United Kingdom;Turkey;Switzerland;Belgium;Netherlands;Canada;Austria;Portugal;Brazil;Korea, South;Israel;Sweden;Australia;Norway;Russia;Ireland;Czechia;Chile;Denmark;Poland;Romania;Malaysia;Ecuador;Japan;Philippines;India;Pakistan;Luxembourg;Saudi Arabia;Indonesia;Thailand;Finland;Peru;Mexico;Greece;Panama;Serbia;South Africa;United Arab Emirates;Dominican Republic;Argentina;Iceland;Colombia;Qatar;Algeria;Ukraine;Singapore;Croatia;Egypt;Estonia;Slovenia;New Zealand;Morocco;Iraq;Lithuania;Armenia;Moldova;Diamond Princess;Bahrain;Hungary;Bosnia and Herzegovina;Cameroon;Tunisia;Kazakhstan;Azerbaijan;Lebanon;Latvia;Bulgaria;North Macedonia;Kuwait;Slovakia;Andorra;Belarus;Costa Rica;Cyprus;Uruguay;Taiwan*;Reunion-France;Albania;Jordan;Burkina Faso;Afghanistan;Cuba;Oman;Uzbekistan;Honduras;Channel Islands-United Kingdom;San Marino;Cote d'Ivoire;Vietnam;Senegal;West Bank and Gaza;Nigeria;Malta;Ghana;Montenegro;Mauritius;Faroe Islands-Denmark;Sri Lanka;Georgia;Venezuela;Congo (Kinshasa);Martinique-France;Kyrgyzstan;Niger;Bolivia;Brunei;Kosovo;Guadeloupe-France;Mayotte-France;Kenya;Isle of Man-United Kingdom;Cambodia;Guinea;Trinidad and Tobago;Rwanda;Gibraltar-United Kingdom;Paraguay;Liechtenstein;Bangladesh;Madagascar;Monaco;Aruba-Netherlands;French Guiana-France;Guatemala;El Salvador;Jamaica;Barbados;Djibouti;Uganda;Togo;Mali;French Polynesia-France;Zambia;Ethiopia;Cayman Islands-United Kingdom;BermudaUnited Kingdom;Eritrea;Bahamas;St Martin-France;Guyana;Sint Maarten-Netherlands;Congo (Brazzaville);Gabon;Burma;Tanzania;Haiti;Maldives;Libya;Guinea-Bissau;New Caledonia-France;Equatorial Guinea;Benin;Syria;Antigua and Barbuda;Mongolia;Namibia;Saint Lucia;Dominica;Fiji;Grenada;Curacao-Netherlands;Greenland-Denmark;Sudan;Seychelles;Suriname;Liberia;Angola;Mozambique;Laos;Nepal;Eswatini;Chad;Zimbabwe;Saint Kitts and Nevis;MS Zaandam;Central African Republic;Holy See;Saint Vincent and the Grenadines;Somalia;Cabo Verde;Saint Barthelemy-France;Mauritania;Montserrat-United Kingdom;Yukon-Canada;Bhutan;Nicaragua;Turks and Caicos Islands-United Kingdom;Gambia;Belize;Northwest Territories-Canada;Botswana;Sierra Leone;Malawi;Anguilla-United Kingdom;British Virgin Islands-United Kingdom;Burundi;Bonaire, Sint Eustatius and Saba-Netherlands;Papua New Guinea;Timor-Leste;Falkland Islands (Islas Malvinas)-United Kingdom;Recovered-Canada;Diamond Princess-Canada;;;;;;;;;;;;;;;;;;;;;;
22/01/2020;1;0;0;0;0;548;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
23/01/2020;1;0;0;0;0;643;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
24/01/2020;2;0;0;0;2;920;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
25/01/2020;2;0;0;0;3;1406;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
26/01/2020;5;0;0;0;3;2075;0;0;0;0;0;0;1;0;0;0;3;0;0;4;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
27/01/2020;5;0;0;1;3;2877;0;0;0;0;0;0;1;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
28/01/2020;5;0;0;4;4;5509;0;0;0;0;0;0;2;0;0;0;4;0;0;5;0;0;0;0;0;0;0;0;4;0;7;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
29/01/2020;5;0;0;4;5;6087;0;0;0;0;0;0;2;0;0;0;4;0;0;6;0;0;0;0;0;0;0;0;7;0;7;0;0;0;0;0;0;14;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
30/01/2020;5;0;0;4;5;8141;0;0;0;0;0;0;2;0;0;0;4;0;0;9;0;0;0;0;0;0;0;0;8;0;11;1;1;0;0;0;0;14;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
31/01/2020;7;0;2;5;5;9802;0;2;0;0;0;0;4;0;0;0;11;0;1;9;0;2;0;0;0;0;0;0;8;0;15;1;1;0;0;0;0;19;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
01/02/2020;8;1;2;8;6;11891;0;2;0;0;0;0;4;0;0;0;12;0;1;12;0;2;0;0;0;0;0;0;8;0;20;1;1;0;0;0;0;19;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
02/02/2020;8;1;2;10;6;16630;0;2;0;0;0;0;4;0;0;0;15;0;1;12;0;2;0;0;0;0;0;0;8;0;20;2;2;0;0;0;0;19;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
