Country/Region;US;Korea, South;China;Taiwan*;Thailand;Japan;Vietnam;Singapore;France;Nepal;Malaysia;Canada;Australia;Cambodia;Sri Lanka;Germany;Finland;United Arab Emirates;Philippines;India;Italy;Sweden;Russia;United Kingdom;Spain;Belgium;Egypt;Iran;Lebanon;Israel;Iraq;Oman;Afghanistan;Bahrain;Kuwait;Algeria;Croatia;Switzerland;Austria;Pakistan;Brazil;Georgia;Greece;North Macedonia;Norway;Romania;Estonia;San Marino;Denmark;Netherlands;Belarus;Iceland;Lithuania;Mexico;New Zealand;Nigeria;Ireland;Luxembourg;Monaco;Qatar;Ecuador;Azerbaijan;Armenia;Dominican Republic;Czechia;Indonesia;Portugal;Andorra;Latvia;Morocco;Saudi Arabia;Senegal;Argentina;Chile;Jordan;Ukraine;Hungary;Liechtenstein;Poland;Tunisia;Faroe Islands-Denmark;Saint Barthelemy-France;Gibraltar-United Kingdom;Bosnia and Herzegovina;Slovenia;South Africa;West Bank and Gaza;Bhutan;Cameroon;Colombia;Costa Rica;Peru;Serbia;Slovakia;Togo;Holy See;Malta;Martinique-France;French Guiana-France;Bulgaria;Maldives;Bangladesh;Paraguay;Moldova;Albania;Cyprus;Brunei;St Martin-France;Burkina Faso;Mongolia;Panama;Channel Islands-United Kingdom;Bolivia;Reunion-France;Honduras;Congo (Kinshasa);Cote d'Ivoire;Jamaica;Turkey;Cuba;Guyana;French Polynesia-France;Guadeloupe-France;Cayman Islands-United Kingdom;Kazakhstan;Ethiopia;Sudan;Guinea;Kenya;Antigua and Barbuda;Aruba-Netherlands;Uruguay;Ghana;Namibia;Seychelles;Trinidad and Tobago;Venezuela;Eswatini;Gabon;Guatemala;Mauritania;Rwanda;Saint Lucia;Saint Vincent and the Grenadines;Suriname;Curacao-Netherlands;Central African Republic;Congo (Brazzaville);Equatorial Guinea;Uzbekistan;Mayotte-France;Greenland-Denmark;Benin;Liberia;Somalia;Tanzania;Bahamas;Barbados;Montenegro;Gambia;Montserrat-United Kingdom;Kyrgyzstan;Mauritius;Zambia;Djibouti;New Caledonia-France;BermudaUnited Kingdom;Chad;El Salvador;Fiji;Nicaragua;Isle of Man-United Kingdom;Sint Maarten-Netherlands;Madagascar;Haiti;Angola;Cabo Verde;Niger;Papua New Guinea;Zimbabwe;Eritrea;Uganda;Dominica;Grenada;Mozambique;Syria;Timor-Leste;Belize;Laos;Libya;Guinea-Bissau;Mali;Saint Kitts and Nevis;Northwest Territories-Canada;Yukon-Canada;Kosovo;Burma;Anguilla-United Kingdom;British Virgin Islands-United Kingdom;Turks and Caicos Islands-United Kingdom;MS Zaandam;Botswana;Burundi;Sierra Leone;Bonaire, Sint Eustatius and Saba-Netherlands;Malawi;Falkland Islands (Islas Malvinas)-United Kingdom
Population 2020;331,002,651;51,269,185;1,439,323,776;23,816,775;69,799,978;126,476,461;97,338,579;5,850,342;65,273,511;29,136,808;32,365,999;37,742,154;25,499,884;16,718,965;21,413,249;83,783,942;5,540,720;9,890,402;109,581,078;1,380,004,385;60,461,826;10,099,265;145,934,462;67,886,011;46,754,778;11,589,623;102,334,404;83,992,949;6,825,445;8,655,535;40,222,493;5,106,626;38,928,346;1,701,575;4,270,571;43,851,044;4,105,267;8,654,622;9,006,398;220,892,340;212,559,417;3,989,167;10,423,054;2,083,374;5,421,241;19,237,691;1,326,535;33,931;5,792,202;17,134,872;9,449,323;341,243;2,722,289;128,932,753;4,822,233;206,139,589;4,937,786;625,978;39,242;2,881,053;17,643,054;10,139,177;2,963,243;10,847,910;10,708,981;273,523,615;10,196,709;77,265;1,886,198;36,910,560;34,813,871;16,743,927;45,195,774;19,116,201;10,203,134;43,733,762;9,660,351;38,128;37,846,611;11,818,619;48,863;9,877;33,691;3,280,819;2,078,938;59,308,690;;771,608;26,545,863;50,882,891;5,094,118;32,971,854;8,737,371;5,459,642;8,278,724;801,000;441,543;375,265;298,682;6,948,445;540,544;164,689,383;7,132,538;4,033,963;2,877,797;1,207,359;437,479;38,666;20,903,273;3,278,290;4,314,767;173,863;11,673,021;895,312;9,904,607;;26,378,274;2,961,167;84,339,067;11,326,616;786,552;280,908;400,124;65,722;18,776,707;114,963,588;43,849,260;13,132,795;53,771,296;97,929;106,766;3,473,730;31,072,940;2,540,905;98,347;1,399,488;28,435,940;1,160,164;2,225,734;17,915,568;4,649,658;12,952,218;183,627;110,940;586,632;164,093;4,829,767;;1,402,985;33,469,203;272,815;56,770;12,123,200;5,057,681;15,893,222;59,734,218;393,244;287,375;628,066;2,416,668;4,992;6,524,195;1,271,768;18,383,955;988,000;285,498;62,278;16,425,864;6,486,205;896,445;6,624,554;85,033;42,876;27,691,018;11,402,528;32,866,272;555,987;24,206,644;8,947,024;14,862,924;3,546,421;45,741,007;71,986;112,523;31,255,435;17,500,658;1,318,445;397,628;7,275,560;6,871,292;1,968,001;20,250,833;53,199;;;;;15,003;30,231;38,717;;2,351,627;11,890,784;7,976,983;;19,129,952;3,480
1;0.003021124;0.019504894;0.380734348;0.041987213;0.028653304;0.015813219;0.020546838;0.170930178;0.030640301;0.034320849;0.092689863;0.026495573;0.156863459;0.059812315;0.046700059;0.011935461;0.180481959;0.404432499;0.009125663;0.000724635;0.033078723;0.099017107;0.013704782;0.029461151;0.021388188;0.086284084;0.009771885;0.023811523;0.146510594;0.115533009;0.024861711;0.391648027;0.025688222;0.587690816;0.234160725;0.022804474;0.243589516;0.115545197;0.222064359;0.009054184;0.004704567;0.250678901;0.09594117;0.479990631;0.18445961;0.05198129;0.75384366;29.47157467;0.172645913;0.058360518;0.105827687;2.930463042;0.367337928;0.007755981;0.207372808;0.004851082;0.202519915;1.597500232;25.48290097;0.347095315;0.340077177;0.295882003;0.337468105;0.092183656;0.280138699;0.007311983;0.196141716;12.94247072;0.530167034;0.027092518;0.028724183;0.059723146;0.022125962;0.052311649;0.098009102;0.02286563;0.207031815;26.2274444;0.026422445;0.084612255;20.4653828;303.7359522;29.68151732;0.609603882;0.962029652;0.016860936;#диаия./0!;1.295994857;0.037670653;0.019652971;0.196304836;0.030328898;0.114450903;0.183162193;0.120791562;1.248439451;6.79435525;5.329567106;16.740212;0.575668369;7.39995264;0.018216111;0.140202548;0.247895184;0.694976053;1.656508131;2.285824005;51.72502974;0.047839398;0.305037077;0.231762225;5.751655039;0.171335252;1.116929071;0.201926235;#диаия./0!;0.037909986;0.337704695;0.011856901;0.264862868;1.271371759;10.67965312;2.49922524;15.21560512;0.213029899;0.008698406;0.022805402;0.076145253;0.018597283;10.21147975;18.73255531;1.151499973;0.096547028;0.787121124;20.33615667;1.429094069;0.070333529;0.861947104;0.449289987;0.055817376;0.215069581;0.077206854;5.445822237;9.013881377;1.704646184;6.094105172;0.207049326;#диаия./0!;0.712765995;0.029878214;3.665487601;17.61493747;0.082486472;0.197719073;0.062919904;0.016740823;2.542950433;6.959547629;3.184378712;0.413792875;200.3205128;0.459826845;2.358920809;0.108790519;1.012145749;7.005303014;32.11406917;0.060879598;0.154173357;1.115517405;0.150953559;11.76014018;23.32307118;0.108338379;0.175399701;0.030426329;1.798603205;0.041310972;0.111769008;0.067281512;0.281974419;0.021862221;13.89159003;8.887071976;0.031994436;0.057140709;0.758469257;2.514913437;0.274892929;0.145533038;1.016259646;0.098761369;37.59469163;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;133.306672;66.1572558;103.3137898;#диаия./0!;1.275712517;0.168197488;0.125360678;#диаия./0!;0.156822139;287.3563218
2;0.003021124;0.019504894;0.446737566;0.041987213;0.042979956;0.015813219;0.020546838;0.512790534;0.045960451;0.034320849;0.123586483;0.026495573;0.196079323;0.059812315;0.046700059;0.047741845;0.180481959;0.404432499;0.009125663;0.000724635;0.033078723;0.099017107;0.013704782;0.029461151;0.021388188;0.086284084;0.009771885;0.059528806;0.146510594;0.115533009;0.024861711;0.391648027;0.025688222;13.51688876;2.575767971;0.022804474;0.730768547;0.115545197;0.222064359;0.009054184;0.004704567;0.250678901;0.287823511;0.479990631;0.18445961;0.05198129;0.75384366;29.47157467;0.172645913;0.058360518;0.105827687;2.930463042;0.367337928;0.031023925;0.207372808;0.004851082;0.202519915;1.597500232;25.48290097;1.041285946;0.340077177;0.295882003;0.337468105;0.092183656;0.280138699;0.007311983;0.196141716;12.94247072;0.530167034;0.027092518;0.028724183;0.119446292;0.022125962;0.052311649;0.098009102;0.02286563;0.207031815;26.2274444;0.026422445;0.084612255;20.4653828;303.7359522;29.68151732;0.609603882;3.367103781;0.016860936;#диаия./0!;1.295994857;0.037670653;0.019652971;0.196304836;0.030328898;0.114450903;0.183162193;0.120791562;1.248439451;6.79435525;5.329567106;16.740212;0.575668369;7.39995264;0.018216111;0.140202548;0.247895184;3.474880264;2.484762196;2.285824005;51.72502974;0.095678796;0.305037077;1.854097799;11.50331008;0.171335252;1.116929071;0.201926235;#диаия./0!;0.037909986;0.675409391;0.011856901;0.353150491;1.271371759;10.67965312;2.49922524;15.21560512;0.319544849;0.008698406;0.022805402;0.076145253;0.018597283;10.21147975;18.73255531;1.151499973;0.193094055;0.787121124;20.33615667;1.429094069;0.351667643;0.861947104;0.449289987;0.055817376;0.215069581;0.077206854;10.89164447;9.013881377;1.704646184;6.094105172;0.207049326;#диаия./0!;0.712765995;0.179269282;3.665487601;17.61493747;0.082486472;0.197719073;0.062919904;0.016740823;2.542950433;6.959547629;3.184378712;0.413792875;200.3205128;0.459826845;2.358920809;0.108790519;1.012145749;7.005303014;32.11406917;0.060879598;0.154173357;1.115517405;0.150953559;11.76014018;23.32307118;0.108338379;0.175399701;0.060852658;5.395809614;0.041310972;0.111769008;0.201844536;0.281974419;0.021862221;27.78318006;8.887071976;0.031994436;0.057140709;0.758469257;2.514913437;0.412339394;0.145533038;1.016259646;0.197522739;37.59469163;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;133.306672;66.1572558;103.3137898;#диаия./0!;1.700950023;0.168197488;0.250721357;#диаия./0!;0.156822139;
3;0.006042248;0.039009787;0.639189052;0.125961638;0.07163326;0.015813219;0.020546838;0.512790534;0.045960451;0.034320849;0.123586483;0.052991146;0.196079323;0.059812315;0.046700059;0.047741845;0.180481959;0.404432499;0.009125663;0.000724635;0.033078723;0.099017107;0.013704782;0.029461151;0.021388188;0.086284084;0.009771885;0.214303703;0.146510594;0.115533009;0.124308555;0.783296055;0.025688222;19.39379692;6.088178841;0.022804474;0.730768547;0.924361572;0.333096539;0.009054184;0.004704567;0.250678901;0.383764682;0.479990631;1.106757659;0.155943871;0.75384366;29.47157467;0.517937738;0.350163106;0.105827687;8.791389127;0.367337928;0.038779906;0.207372808;0.004851082;0.202519915;1.597500232;25.48290097;1.041285946;0.396756707;0.295882003;0.337468105;0.092183656;0.466897831;0.007311983;0.49035429;12.94247072;0.530167034;0.027092518;0.028724183;0.238892585;0.022125962;0.209246597;0.098009102;0.02286563;0.207031815;26.2274444;0.132112225;0.084612255;20.4653828;303.7359522;29.68151732;0.914405824;3.367103781;0.016860936;#диаия./0!;1.295994857;0.075341306;0.019652971;0.981524181;0.181973389;0.114450903;0.549486578;0.120791562;1.248439451;6.79435525;5.329567106;16.740212;0.575668369;11.09992896;0.018216111;0.140202548;0.743685552;4.169856317;4.969524392;25.14406406;51.72502974;0.095678796;0.305037077;2.549384474;11.50331008;0.257002879;5.584645353;0.201926235;#диаия./0!;0.037909986;2.701637564;0.059284507;0.353150491;1.271371759;10.67965312;7.497675721;15.21560512;0.479317273;0.008698406;0.022805402;0.076145253;0.055791848;10.21147975;18.73255531;2.302999945;0.193094055;0.787121124;30.504235;2.858188137;0.597834993;0.861947104;0.449289987;0.111634753;0.215069581;0.386034268;10.89164447;9.013881377;1.704646184;6.094105172;0.207049326;#диаия./0!;0.712765995;0.298782137;3.665487601;17.61493747;0.164972944;0.395438146;0.062919904;0.05022247;2.542950433;17.39886907;4.776568068;0.413792875;200.3205128;0.919653689;9.435683238;0.108790519;1.012145749;14.01060603;32.11406917;0.060879598;0.462520071;1.115517405;0.301907117;58.8007009;23.32307118;0.108338379;0.175399701;0.060852658;5.395809614;0.082621945;0.111769008;0.201844536;0.281974419;0.196759988;27.78318006;8.887071976;0.095983307;0.057140709;0.758469257;5.029826873;0.824678788;0.145533038;1.016259646;0.543187532;37.59469163;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;133.306672;66.1572558;129.1422373;#диаия./0!;1.700950023;0.252296232;0.250721357;#диаия./0!;0.209096186;
4;0.006042248;0.039009787;0.976847617;0.125961638;0.100286565;0.015813219;0.020546838;0.683720712;0.045960451;0.034320849;0.123586483;0.052991146;0.235295188;0.059812315;0.046700059;0.047741845;0.180481959;0.404432499;0.018251326;0.001449271;0.033078723;0.099017107;0.013704782;0.029461151;0.021388188;0.086284084;0.009771885;0.333361316;0.146510594;0.115533009;0.174031978;0.783296055;0.025688222;19.39379692;10.06891116;0.022804474;1.217947578;0.924361572;0.333096539;0.018108369;0.009409134;0.250678901;0.383764682;0.479990631;2.766894148;0.155943871;0.75384366;29.47157467;0.69058365;0.583605177;0.105827687;17.58277825;0.367337928;0.038779906;0.207372808;0.004851082;0.40503983;1.597500232;25.48290097;2.429667208;0.566795295;0.295882003;0.337468105;0.092183656;0.747036529;0.007311983;0.784566864;12.94247072;0.530167034;0.054185035;0.143620915;0.238892585;0.044251925;0.209246597;0.098009102;0.02286563;0.41406363;26.2274444;0.132112225;0.084612255;20.4653828;303.7359522;29.68151732;0.914405824;7.696237213;0.050582807;#диаия./0!;1.295994857;0.075341306;0.019652971;1.766743527;0.212302287;0.114450903;0.549486578;0.120791562;1.248439451;11.32392542;5.329567106;16.740212;1.007419646;14.79990528;0.018216111;0.701012739;0.743685552;7.992224608;4.969524392;25.14406406;51.72502974;0.095678796;0.305037077;6.257580073;11.50331008;0.856676262;6.701574423;0.201926235;#диаия./0!;0.037909986;2.701637564;0.059284507;0.353150491;5.085487037;10.67965312;14.99535144;15.21560512;0.532574748;0.043492032;0.022805402;0.076145253;0.055791848;10.21147975;18.73255531;8.348374802;0.225276398;0.787121124;40.67231334;3.572735172;1.160503222;0.861947104;0.449289987;0.334904258;0.215069581;0.540447976;10.89164447;9.013881377;1.704646184;18.28231552;0.207049326;#диаия./0!;2.851063981;0.448173206;10.9964628;35.22987493;0.164972944;0.395438146;0.062919904;0.100444941;7.628851298;17.39886907;22.29065098;0.413792875;200.3205128;2.145858608;11.00829711;0.108790519;1.012145749;14.01060603;96.34220752;0.060879598;0.462520071;2.23103481;0.301907117;152.8818224;46.64614236;0.433353516;0.526199103;0.091278987;5.395809614;0.123932917;0.111769008;0.201844536;0.281974419;0.196759988;97.24113022;8.887071976;0.159972178;0.285703543;0.758469257;5.029826873;0.824678788;0.145533038;1.016259646;0.888852325;37.59469163;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;133.306672;99.2358837;129.1422373;#диаия./0!;1.700950023;0.252296232;0.250721357;;;
5;0.015105619;0.058514681;1.441649221;0.167948851;0.114613217;0.031626438;0.020546838;0.85465089;0.061280601;0.034320849;0.216276346;0.052991146;0.352942782;0.059812315;0.046700059;0.059677307;0.180481959;0.505540624;0.018251326;0.002173906;0.033078723;0.099017107;0.013704782;0.029461151;0.021388188;0.086284084;0.009771885;0.511947735;0.146510594;0.115533009;0.174031978;0.783296055;0.025688222;21.15686937;10.53723261;0.022804474;1.461537094;2.079813538;0.999289616;0.018108369;0.009409134;0.752036703;0.671588193;0.479990631;3.504732588;0.155943871;0.75384366;235.7725973;0.69058365;1.050489318;0.105827687;32.23509347;0.367337928;0.038779906;0.207372808;0.004851082;1.215119489;1.597500232;25.48290097;2.776762524;0.736833884;0.591764006;0.337468105;0.092183656;1.120554794;0.014623966;1.274921153;12.94247072;0.530167034;0.054185035;0.143620915;0.238892585;0.1770077;0.209246597;0.098009102;0.02286563;0.724611352;26.2274444;0.290646896;0.169224509;40.93076561;303.7359522;29.68151732;0.914405824;7.696237213;0.050582807;#диаия./0!;1.295994857;0.075341306;0.058958914;1.766743527;0.333617879;0.572254515;1.282135349;0.120791562;1.248439451;13.5887105;7.994350659;16.740212;1.007419646;14.79990528;0.018216111;0.701012739;0.743685552;11.46710487;11.59555691;84.57548819;51.72502974;0.095678796;0.305037077;8.343440098;11.50331008;0.856676262;7.818503494;0.302889352;#диаия./0!;0.037909986;3.377046955;0.071141408;0.353150491;5.085487037;10.67965312;44.98605432;15.21560512;1.757496669;0.043492032;0.022805402;0.076145253;0.055791848;10.21147975;28.09883296;14.39374966;0.225276398;0.787121124;40.67231334;5.00182924;1.266003515;0.861947104;0.449289987;0.334904258;0.215069581;0.617654829;10.89164447;9.013881377;1.704646184;18.28231552;0.207049326;#диаия./0!;4.276595972;0.687198915;10.9964628;35.22987493;0.164972944;0.395438146;0.062919904;0.100444941;7.628851298;20.87864289;22.29065098;0.413792875;200.3205128;2.145858608;22.01659422;0.163185778;1.012145749;28.02121206;96.34220752;0.060879598;0.462520071;3.346552215;0.301907117;270.4832242;46.64614236;0.61391748;0.613898953;0.091278987;5.395809614;0.123932917;0.111769008;0.201844536;1.127897675;0.306071093;152.8074903;62.20950383;0.223961049;0.285703543;0.758469257;5.029826873;1.099571717;0.436599114;1.016259646;0.888852325;37.59469163;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;133.306672;99.2358837;154.9706847;#диаия./0!;1.700950023;0.252296232;0.501442713;;;
6;0.015105619;0.078019575;1.998855329;0.209936064;0.114613217;0.031626438;0.020546838;1.196511247;0.076600752;0.034320849;0.247172967;0.105982292;0.352942782;0.059812315;0.046700059;0.095483691;0.180481959;0.505540624;0.018251326;0.002173906;0.033078723;0.099017107;0.013704782;0.029461151;0.021388188;0.086284084;0.009771885;0.726251438;0.293021188;0.231066017;0.323202244;1.174944082;0.025688222;24.09532345;10.53723261;0.022804474;1.705126609;3.119720307;1.554450514;0.018108369;0.009409134;0.752036703;0.671588193;0.479990631;4.611490247;0.155943871;1.507687321;294.7157467;1.035875475;1.400652424;0.634966124;76.1920391;0.367337928;0.038779906;0.622118425;0.004851082;1.215119489;1.597500232;25.48290097;2.776762524;0.736833884;0.591764006;0.337468105;0.184367311;1.680832191;0.014623966;1.961417159;12.94247072;0.530167034;0.054185035;0.143620915;0.238892585;0.26551155;0.418493193;0.098009102;0.02286563;0.931643167;26.2274444;0.422759121;0.169224509;40.93076561;101.2453174;29.68151732;1.524009706;14.9114596;0.118026549;#диаия./0!;1.295994857;0.075341306;0.176876742;2.551962872;0.333617879;1.373410835;1.831621927;0.120791562;1.248439451;13.5887105;7.994350659;16.740212;3.310093122;16.64989344;0.018216111;0.841215287;1.487371104;13.204545;21.5346057;91.43296021;51.72502974;0.143518194;0.305037077;9.965775672;17.25496512;0.942343889;10.05236163;0.605778705;#диаия./0!;0.037909986;3.377046955;0.213424225;0.441438114;8.899602315;10.67965312;67.47908148;15.21560512;1.864011618;0.052190438;0.045610804;0.076145253;0.055791848;10.21147975;37.46511062;22.74212446;0.354005768;1.180681686;61.00847001;6.430923309;1.477004101;0.861947104;0.449289987;0.502356386;0.430139163;0.617654829;10.89164447;9.013881377;1.704646184;18.28231552;0.621147977;#диаия./0!;4.276595972;0.985981052;21.99292561;35.22987493;0.164972944;0.59315722;0.062919904;0.100444941;10.17180173;48.71683341;33.43597647;0.413792875;200.3205128;2.452409838;28.30704971;0.163185778;3.036437247;35.02651507;96.34220752;0.182638795;0.770866786;4.462069619;0.301907117;270.4832242;69.96921355;0.686143066;0.701598803;0.091278987;7.194412819;0.289176806;0.111769008;0.201844536;1.691846512;0.306071093;152.8074903;62.20950383;0.223961049;0.285703543;0.758469257;5.029826873;1.099571717;1.164264304;4.065038585;1.234517118;131.5814207;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;199.960008;99.2358837;129.1422373;#диаия./0!;1.700950023;;;;;
7;0.015105619;0.078019575;3.827491835;0.335897702;0.200573129;0.055346267;0.020546838;1.196511247;0.076600752;0.034320849;0.247172967;0.105982292;0.470590376;0.059812315;0.046700059;0.119354613;0.180481959;0.505540624;0.018251326;0.002173906;0.033078723;0.099017107;0.013704782;0.029461151;0.021388188;0.086284084;0.009771885;1.131047322;0.293021188;0.346599026;0.472372511;1.174944082;0.025688222;27.62146835;10.53723261;0.068413422;1.705126609;4.852898255;1.998579232;0.022635461;0.009409134;0.752036703;0.671588193;0.479990631;5.902707517;0.155943871;1.507687321;471.5451947;1.726459126;2.217699671;0.634966124;99.63574344;0.367337928;0.038779906;0.622118425;0.004851082;3.645358466;3.195000463;25.48290097;2.776762524;0.736833884;0.887646009;0.337468105;0.184367311;1.774211757;0.021935949;2.942125739;12.94247072;1.060334069;0.054185035;0.315966013;0.238892585;0.26551155;0.418493193;0.098009102;0.02286563;0.931643167;26.2274444;0.581293791;0.423061273;40.93076561;101.2453174;29.68151732;2.133613589;27.41784507;0.219192162;#диаия./0!;1.295994857;0.075341306;0.176876742;4.318706398;0.454933471;2.174567155;2.930595083;0.120791562;1.248439451;27.177421;7.994350659;16.740212;5.900600782;18.4998816;0.018216111;0.841215287;2.974742208;14.59449711;21.5346057;114.2912003;51.72502974;0.717590972;0.305037077;12.74692237;34.50993023;0.942343889;10.05236163;0.80770494;#диаия./0!;0.18954993;4.052456346;0.557274365;0.618013359;8.899602315;21.35930625;82.47443293;45.64681537;2.343328891;0.052190438;0.045610804;0.076145253;0.13018098;10.21147975;37.46511062;27.06024936;0.514917481;1.180681686;71.17654834;6.430923309;1.477004101;0.861947104;1.347869961;0.669808515;0.430139163;1.312516513;10.89164447;9.013881377;6.818584735;18.28231552;0.621147977;#диаия./0!;4.276595972;1.28476319;25.65841321;70.45974987;0.164972944;0.59315722;0.062919904;0.200889882;10.17180173;59.15615485;42.98911261;0.82758575;200.3205128;6.437575824;33.02489133;0.163185778;3.036437247;49.0371211;112.3992421;0.182638795;1.387560214;5.577587024;0.301907117;294.0035045;69.96921355;0.830594238;0.701598803;0.121705315;7.194412819;0.413109723;0.111769008;0.201844536;1.691846512;0.502831081;152.8074903;62.20950383;0.255955484;0.285703543;0.758469257;5.029826873;1.099571717;1.164264304;4.065038585;1.382659173;150.3787665;#диаия./0!;#диаия./0!;#диаия./0!;#диаия./0!;199.960008;99.2358837;129.1422373;#диаия./0!;;;;;;
