Day,Niger,Papua New Guinea,Zimbabwe,Uganda,Eritrea,Dominica,Grenada,Mozambique,Syria,Timor-Leste,Belize,Laos,Libya,Guinea-Bissau,Mali,Saint Kitts and Nevis,Kosovo,Yukon-Canada,Northwest Territories-Canada,Burma,Anguilla-UK,British Virgin Islands-UK,Turks and Caicos Islands-UK,MS Zaandam,Botswana,Burundi,Sierra Leone,"Bonaire, Sint Eustatius and Saba-Netherlands",Malawi,Falkland Islands (Islas Malvinas)-UK
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,71.0,3.0,1.0,8.0,2.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0
2,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,86.0,3.0,1.0,8.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,
3,2.0,1.0,3.0,9.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,6.0,1.0,2.0,11.0,2.0,91.0,4.0,1.0,10.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,
4,3.0,1.0,3.0,9.0,1.0,7.0,1.0,5.0,5.0,1.0,2.0,6.0,1.0,2.0,18.0,2.0,94.0,4.0,1.0,14.0,2.0,3.0,5.0,2.0,4.0,3.0,2.0,,,
5,3.0,1.0,3.0,14.0,4.0,11.0,7.0,7.0,5.0,1.0,2.0,8.0,3.0,2.0,18.0,2.0,94.0,4.0,1.0,15.0,2.0,3.0,6.0,9.0,4.0,3.0,4.0,,,
6,7.0,1.0,3.0,14.0,6.0,11.0,7.0,7.0,5.0,1.0,2.0,8.0,8.0,8.0,25.0,7.0,112.0,5.0,1.0,15.0,3.0,3.0,5.0,9.0,4.0,,,,,
7,10.0,1.0,3.0,23.0,6.0,11.0,7.0,8.0,5.0,1.0,2.0,8.0,8.0,8.0,28.0,8.0,125.0,5.0,2.0,20.0,3.0,3.0,5.0,9.0,,,,,,
8,10.0,1.0,5.0,30.0,6.0,11.0,9.0,8.0,9.0,1.0,3.0,9.0,10.0,9.0,31.0,8.0,125.0,6.0,2.0,20.0,3.0,3.0,5.0,9.0,,,,,,
9,10.0,1.0,7.0,33.0,12.0,11.0,9.0,8.0,10.0,1.0,3.0,10.0,10.0,9.0,36.0,9.0,126.0,6.0,2.0,21.0,,,,,,,,,,
10,18.0,1.0,7.0,33.0,12.0,12.0,9.0,8.0,10.0,1.0,3.0,10.0,11.0,15.0,39.0,9.0,135.0,6.0,4.0,,,,,,,,,,,
11,27.0,1.0,7.0,44.0,15.0,12.0,9.0,10.0,10.0,1.0,3.0,10.0,11.0,18.0,41.0,9.0,,,,,,,,,,,,,,
12,27.0,1.0,8.0,44.0,15.0,12.0,10.0,10.0,16.0,1.0,4.0,10.0,18.0,,,,,,,,,,,,,,,,,
13,74.0,1.0,8.0,45.0,22.0,12.0,12.0,10.0,16.0,1.0,4.0,,,,,,,,,,,,,,,,,,,
14,98.0,1.0,9.0,48.0,22.0,14.0,12.0,10.0,16.0,1.0,,,,,,,,,,,,,,,,,,,,
15,120.0,1.0,9.0,48.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,144.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
